Warszawa;mazowieckie;00-002
Warszawa (Mokotów);mazowieckie;00-454
Warszawa (Ochota);mazowieckie;00-608
Warszawa (Wola);mazowieckie;00-801
Warszawa (Bemowo);mazowieckie;01-301
Warszawa (Żoliborz);mazowieckie;01-501
Warszawa (Bielany);mazowieckie;01-531
Warszawa (Włochy);mazowieckie;02-133
Warszawa (Ursus);mazowieckie;02-222
Warszawa (Ursynów);mazowieckie;02-682
Warszawa (Wilanów);mazowieckie;02-747
Warszawa (Białołęka);mazowieckie;03-001
Warszawa (Praga-;mazowieckie;03-215
Warszawa (Wawer);mazowieckie;03-980
Sulejówek;mazowieckie;05-070
Długa Szlachecka;mazowieckie;05-071
Grabina;mazowieckie;05-071
Brzeziny;mazowieckie;05-074
Chobot;mazowieckie;05-074
Cisie;mazowieckie;05-074
Desno;mazowieckie;05-074
Długa Kościelna;mazowieckie;05-074
Halinów;mazowieckie;05-074
Hipolitów;mazowieckie;05-074
Józefin;mazowieckie;05-074
Kazimierów;mazowieckie;05-074
Krzewina;mazowieckie;05-074
Mrowiska;mazowieckie;05-074
Nowy Konik;mazowieckie;05-074
Stary Konik;mazowieckie;05-074
Wielgolas Brzeziński (Nowiny za Koleją);mazowieckie;05-074
Wielgolas Brzeziński;mazowieckie;05-074
Wielgolas Duchnowski;mazowieckie;05-074
Żwirówka;mazowieckie;05-074
Warszawa (Wesoła);mazowieckie;05-075
Zakręt;mazowieckie;05-077
Budziska;mazowieckie;05-079
Michałów;mazowieckie;05-079
Okuniew;mazowieckie;05-079
Ostrowik;mazowieckie;05-079
Zabraniec;mazowieckie;05-079
Zagórze;mazowieckie;05-079
Hornówek;mazowieckie;05-080
Izabelin B;mazowieckie;05-080
Izabelin C;mazowieckie;05-080
Klaudyn;mazowieckie;05-080
Koczargi Stare;mazowieckie;05-080
Laski;mazowieckie;05-080
Laski (Opaleń);mazowieckie;05-080
Lipków;mazowieckie;05-080
Mościska;mazowieckie;05-080
Sieraków;mazowieckie;05-080
Truskaw;mazowieckie;05-080
Truskaw (Pociecha);mazowieckie;05-080
Babice Nowe;mazowieckie;05-082
Blizne Jasińskiego;mazowieckie;05-082
Blizne Łaszczyńskiego;mazowieckie;05-082
Janów;mazowieckie;05-082
Koczargi Nowe;mazowieckie;05-082
Kwirynów;mazowieckie;05-082
Latchorzew;mazowieckie;05-082
Lubiczów;mazowieckie;05-082
Stare Babice;mazowieckie;05-082
Wojcieszyn;mazowieckie;05-082
Zielonki;mazowieckie;05-082
Zielonki-Parcela;mazowieckie;05-082
Zielonki-Wieś;mazowieckie;05-082
Borzęcin Duży;mazowieckie;05-083
Borzęcin Mały;mazowieckie;05-083
Buda;mazowieckie;05-083
Feliksów;mazowieckie;05-083
Ławy;mazowieckie;05-083
Mariew;mazowieckie;05-083
Rózin;mazowieckie;05-083
Stanisławów;mazowieckie;05-083
Topolin;mazowieckie;05-083
Wąsy-Kolonia;mazowieckie;05-083
Wąsy-Wieś;mazowieckie;05-083
Wierzbin;mazowieckie;05-083
Wiktorów;mazowieckie;05-083
Wólka;mazowieckie;05-083
Wyględy;mazowieckie;05-083
Zaborów;mazowieckie;05-083
Zaborówek;mazowieckie;05-083
Zaborówek (Janówek);mazowieckie;05-083
Zalesie;mazowieckie;05-083
Białutki;mazowieckie;05-084
Czarnów;mazowieckie;05-084
Grądy;mazowieckie;05-084
Julinek;mazowieckie;05-084
Kępiaste;mazowieckie;05-084
Korfowe;mazowieckie;05-084
Leszno;mazowieckie;05-084
Łubiec;mazowieckie;05-084
Marianów;mazowieckie;05-084
Plewniak;mazowieckie;05-084
Podrochale;mazowieckie;05-084
Powązki;mazowieckie;05-084
Roztoka;mazowieckie;05-084
Szadkówek;mazowieckie;05-084
Szymanówek;mazowieckie;05-084
Towarzystwo Czarnów;mazowieckie;05-084
Walentów;mazowieckie;05-084
Wilkowa Wieś;mazowieckie;05-084
Wilków;mazowieckie;05-084
Bieliny;mazowieckie;05-085
Budki Żelazowskie;mazowieckie;05-085
Gawartowa Wola;mazowieckie;05-085
Grabnik;mazowieckie;05-085
Granica;mazowieckie;05-085
Józefów;mazowieckie;05-085
Kampinos;mazowieckie;05-085
Kampinos A;mazowieckie;05-085
Kirsztajnów;mazowieckie;05-085
Komorów;mazowieckie;05-085
Koszówka;mazowieckie;05-085
Kwiatkówek;mazowieckie;05-085
Łazy;mazowieckie;05-085
Łazy Leśne;mazowieckie;05-085
Pasikonie;mazowieckie;05-085
Pindal;mazowieckie;05-085
Podkampinos;mazowieckie;05-085
Prusy;mazowieckie;05-085
Rzęszyce;mazowieckie;05-085
Skarbikowo;mazowieckie;05-085
Stare Gnatowice;mazowieckie;05-085
Stelmachowo;mazowieckie;05-085
Strojec;mazowieckie;05-085
Strzyżew;mazowieckie;05-085
Szczytno;mazowieckie;05-085
Trzciniec;mazowieckie;05-085
Wiejca;mazowieckie;05-085
Wola Pasikońska;mazowieckie;05-085
Zawady;mazowieckie;05-085
Andrzejów;mazowieckie;05-088
Brochocin;mazowieckie;05-088
Brochów;mazowieckie;05-088
Brochów-Kolonia;mazowieckie;05-088
Famułki Brochowskie;mazowieckie;05-088
Famułki Królewskie;mazowieckie;05-088
Gorzewnica;mazowieckie;05-088
Górki;mazowieckie;05-088
Hilarów;mazowieckie;05-088
Konary (Łęg);mazowieckie;05-088
Konary;mazowieckie;05-088
Kromnów;mazowieckie;05-088
Lasocin;mazowieckie;05-088
Łasice;mazowieckie;05-088
Malanowo;mazowieckie;05-088
Miszory;mazowieckie;05-088
Nowa Wieś-Śladów;mazowieckie;05-088
Olszowiec;mazowieckie;05-088
Piaski Duchowne;mazowieckie;05-088
Piaski Królewskie;mazowieckie;05-088
Plecewice;mazowieckie;05-088
Przęsławice;mazowieckie;05-088
Sianno;mazowieckie;05-088
Śladów;mazowieckie;05-088
Tułowice;mazowieckie;05-088
Wilcze Śladowskie;mazowieckie;05-088
Wilcze Tułowskie;mazowieckie;05-088
Wólka Smolana;mazowieckie;05-088
Dawidy;mazowieckie;05-090
Dawidy Bankowe;mazowieckie;05-090
Falenty;mazowieckie;05-090
Falenty Duże;mazowieckie;05-090
Falenty Nowe;mazowieckie;05-090
Janki;mazowieckie;05-090
Jaworowa;mazowieckie;05-090
Laszczki;mazowieckie;05-090
Łady;mazowieckie;05-090
Nowe Grocholice;mazowieckie;05-090
Podolszyn Nowy;mazowieckie;05-090
Puchały;mazowieckie;05-090
Raszyn;mazowieckie;05-090
Rybie;mazowieckie;05-090
Sękocin Nowy;mazowieckie;05-090
Sękocin Stary;mazowieckie;05-090
Sękocin-Las;mazowieckie;05-090
Słomin;mazowieckie;05-090
Wypędy;mazowieckie;05-090
Ząbki;mazowieckie;05-091
Dąbrowa;mazowieckie;05-092
Dziekanów Leśny;mazowieckie;05-092
Dziekanów Nowy;mazowieckie;05-092
Dziekanów Polski;mazowieckie;05-092
Izabelin-Dziekanówek;mazowieckie;05-092
Kępa Kiełpińska;mazowieckie;05-092
Kiełpin;mazowieckie;05-092
Kiełpin Poduchowny;mazowieckie;05-092
Łomianki;mazowieckie;05-092
Łomianki (Buraków);mazowieckie;05-092
Łomianki Dolne;mazowieckie;05-092
Sadowa;mazowieckie;05-092
Nowy Dwór;mazowieckie;05-100
Nowy Dwór Mazowiecki (Kępa Nowodworska);mazowieckie;05-100
Boża Wola;mazowieckie;05-101
Janówek Drugi;mazowieckie;05-101
Skierdy;mazowieckie;05-101
Suchocin;mazowieckie;05-101
Trzciany;mazowieckie;05-101
Wólka Górska;mazowieckie;05-101
Bronisławka;mazowieckie;05-102
Bagno;mazowieckie;05-110
Jabłonna;mazowieckie;05-110
Rajszew;mazowieckie;05-110
Legionowo;mazowieckie;05-119
Legionowo (Grudzie);mazowieckie;05-119
Łajski;mazowieckie;05-119
Michałów-Reginów;mazowieckie;05-119
Stanisławów Drugi;mazowieckie;05-119
Wola Aleksandra;mazowieckie;05-119
Chotomów;mazowieckie;05-123
Dąbrowa Chotomowska;mazowieckie;05-123
Olszewnica Stara;mazowieckie;05-123
Góra;mazowieckie;05-124
Janówek Pierwszy;mazowieckie;05-124
Kałuszyn;mazowieckie;05-124
Krubin;mazowieckie;05-124
Olszewnica Nowa;mazowieckie;05-124
Poddębie;mazowieckie;05-124
Poniatów;mazowieckie;05-124
Sikory;mazowieckie;05-124
Skrzeszew;mazowieckie;05-124
Topolina;mazowieckie;05-124
Aleksandrów;mazowieckie;05-126
Beniaminów;mazowieckie;05-126
Białobrzegi;mazowieckie;05-126
Dąbkowizna;mazowieckie;05-126
Izabelin;mazowieckie;05-126
Kąty Węgierskie;mazowieckie;05-126
Michałów-Grabina;mazowieckie;05-126
Nieporęt;mazowieckie;05-126
Rembelszczyzna;mazowieckie;05-126
Rynia;mazowieckie;05-126
Stanisławów Pierwszy;mazowieckie;05-126
